# IDEA-EQ (14366)  2026-04-17 09:15 -> 2026-04-17 15:15
# Strategy: init=0.1%  long=0.5%  short=10%
# Funds: 110000  Base: 100000
# Prev close: 9.52
  idx                   time       open       high        low      close     %chg    event  target_sell
--------------------------------------------------------------------------------------------------------------
  137 2026-04-17T11:32:00+05:30       9.58       9.60       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  138 2026-04-17T11:33:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  139 2026-04-17T11:34:00+05:30       9.60       9.60       9.59       9.59   -0.519          TP≥9.6882 SL≤8.676
  140 2026-04-17T11:35:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  141 2026-04-17T11:36:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  142 2026-04-17T11:37:00+05:30       9.60       9.60       9.59       9.59   -0.519          TP≥9.6882 SL≤8.676
  143 2026-04-17T11:38:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  144 2026-04-17T11:39:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  145 2026-04-17T11:40:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  146 2026-04-17T11:41:00+05:30       9.59       9.60       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  147 2026-04-17T11:42:00+05:30       9.58       9.58       9.56       9.58   -0.622          TP≥9.6882 SL≤8.676
  148 2026-04-17T11:43:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  149 2026-04-17T11:44:00+05:30       9.58       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  150 2026-04-17T11:45:00+05:30       9.58       9.59       9.56       9.56   -0.830          TP≥9.6882 SL≤8.676
  151 2026-04-17T11:46:00+05:30       9.58       9.58       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  152 2026-04-17T11:47:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  153 2026-04-17T11:48:00+05:30       9.56       9.57       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  154 2026-04-17T11:49:00+05:30       9.56       9.57       9.55       9.57   -0.726          TP≥9.6882 SL≤8.676
  155 2026-04-17T11:50:00+05:30       9.56       9.58       9.56       9.58   -0.622          TP≥9.6882 SL≤8.676
  156 2026-04-17T11:51:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  157 2026-04-17T11:52:00+05:30       9.58       9.58       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  158 2026-04-17T11:53:00+05:30       9.57       9.58       9.56       9.58   -0.622          TP≥9.6882 SL≤8.676
  159 2026-04-17T11:54:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  160 2026-04-17T11:55:00+05:30       9.57       9.59       9.57       9.59   -0.519          TP≥9.6882 SL≤8.676
  161 2026-04-17T11:56:00+05:30       9.59       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  162 2026-04-17T11:57:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  163 2026-04-17T11:58:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  164 2026-04-17T11:59:00+05:30       9.58       9.58       9.57       9.57   -0.726          TP≥9.6882 SL≤8.676
  165 2026-04-17T12:00:00+05:30       9.57       9.58       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  166 2026-04-17T12:01:00+05:30       9.56       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  167 2026-04-17T12:02:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  168 2026-04-17T12:03:00+05:30       9.56       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  169 2026-04-17T12:04:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  170 2026-04-17T12:05:00+05:30       9.56       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  171 2026-04-17T12:06:00+05:30       9.56       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  172 2026-04-17T12:07:00+05:30       9.57       9.58       9.56       9.58   -0.622          TP≥9.6882 SL≤8.676
  173 2026-04-17T12:08:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  174 2026-04-17T12:09:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  175 2026-04-17T12:10:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  176 2026-04-17T12:11:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  177 2026-04-17T12:12:00+05:30       9.58       9.58       9.57       9.57   -0.726          TP≥9.6882 SL≤8.676
  178 2026-04-17T12:13:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  179 2026-04-17T12:14:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  180 2026-04-17T12:15:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
